feed,user,description,likes
Fountain Pens,@bergsbites.bsky.social,A feed that includes any posts with the term fountain pen.,"1,115"
Craftiverse,@blopeep.bsky.social,New feed for all things crafting. Include this emoji or craft-related keywords to get picked up! 🧶,"1,114"
BTS Bangtan OT7 Feed,@everythinggoes.army.social,Apobangpo! Feed for mentions of the kpop group BTS - use #BTS & member names & tags. BTS Video feed can be found here: https://bsky.app/profile/did:plc:2dozc4lhicvbmpsbxnicvdpj/feed/BTS_Video_Feed // Made at BlueskyFeeds.com,"1,113"
"Skincare, Makeup, Beauty",@abmuse.net,"Skincare, makeup, beauty enthusiats this is your feed!

To post: have @abmuse.net add you, use #smb |#skincare|#makeup|#beauty for your SMB-specific posts 

Treat people with kindness & respect
No spam
No fearmongering without proper proof
No businesses or business activity
No excess filters
No NSFW","1,101"
BookSky (trending 🔥) 📚💙,@clarabelle.xyz,"BookSky but 🔥trending🔥. Here are the most popular #booksky posts from the last few days - use 📚💙, 💙📚or #booksky to post to feed. More #booksky feeds 👉🏻 booksky.club/list","1,075"
Banned Book Club,@retired-librarian.bsky.social,"#BannedBookSkyClub
Pin the feed to your home page to get updates and join the discussion
March 2025: Parable of the Sower, Octavia Butler
April 2025: Banned Book Club , Kim Hyun Sook, et al.
May 2025: The Girl Who Loved Tom Gordon, Stephen King
June 2025: The Left Hand of Darkness, Ursula Le Guin","1,070"
Traditional Mediums,@bsky.art,This feed is dedicated to showcasing traditional art mediums from across BlueSky.,"1,069"
Bsky Goes Cosplay 🎭,@clarabelle.xyz,"The place to show off your best cosplays, your current projects and your total cosplay flops. Use #cosplay in your posts to show up in the feed.","1,061"
SkyTok,@mmccue.bsky.social,Like TikTok with a twist. Shows videos tagged with #SkyTok (NSFW not allowed) + trending videos. Next version will include videos from your network.,"1,051"
FollowersLike,@why.bsky.team,Posts liked by people you follow,"1,047"
Jasmine Crockett,@trending.bsky.app,,"1,040"
#EconSky,@paulgp.com,"Economics BlueSky feed

Post with:
#econsky

(emojis no longer work)","1,031"
UA fundraising,@dovgonosyk.bsky.social,"Feed that collects Ukrainian fundraising posts.
Please like this feed ❤️
Keywords: monobank, реквізити, приватбанк, donate to ukraine
Hashtags: #несітьгроші, #збір, #donatetoukraine","1,029"
Romancelandia,@allieiswriting.bsky.social,For those who would like to be included in conversations regarding Romance novels/books. please use one of the following #romancebook|#romancelandia|#romtalk|#rombktalk|#romancebooks|#romancebks|#rombks|romancelandia,"1,025"
BlueSky News,@matthewrodier.bsky.social,Journalism,"1,021"
Queer Bookworms 🌈📚,@biblioqueer.bsky.social,A feed for queer bookworms! Include 🌈📚 in your post for it to show up here!,"1,018"
🐾 #CommsOpen,@furryli.st,"Furry
Posts by furries that have #commsopen.

Join the furry feeds by following @furryli.st","1,015"
Arsenal Catch Up,@poorlydrawnarsenal.com,Top posts from Bluesky mentioning Arsenal in the last 24 hours,"1,012"
🎧,@marlo.ooo,"use the headphones emoji 🎧 to talk about music you like, share songs, talk about making music, sharing your own music, talking about music gear, posting your weekly topster collage... this feed is for everything music!","1,003"
neuroskyence,@micahgallen.com,"Neuroscience posts on BlueSky! Add #neuroskyence, 🧠📈, or 🧠🟦 to your post for it to appear in this feed.

Rules: No bigotry. No personal insults. Posts must be about neuroscience.

Run by @mgallen.bsky.social","1,002"
Dogs of Bluesky,@pseudelight.ink,"A feed for the dogs who post here (okay, and the humans who are posting dog pictures). Captures #dogsofbluesky, #dogsofbsky, #dogsky, #skydogs and now just #dogs","1,002"
#History,@jilly.ca,A general history feed pulling in #history and all posts from select Bsky historians. Don't forget to 📌 and ❤️️!,990
Crochet and Knitting 🧶,@snowfloe.bsky.social,"Feed for crochets and knitting.  Picks up: 

yarn ball emoji 🧶 or
socks 🧦 or
scarf 🧣 or 
gloves🧤

AND either the term, ""crochet"" or ""knitting "". Feed needs BOTH an emoji and a term to pick up posts.

Details in pinned post. WIP.",984
Pokemon,@mintyconey.bsky.social,Pokemon Feed - posts containing pokemon or pokémon,984
🐾 New 🌙,@furryli.st,"Furry
Posts by furries that have been marked NSFW.

Join the furry feeds by following @furryli.st",969
Cats!,@bossett.social,Cats! They're cats! This is a cat feed!,960
Arte 🇧🇷,@lattecos.bsky.social,"Pra encontrar artistas brasileiros! 💕 Inputs são das ultimas 24h.
Use #BRart pra aparecer no feed. 🎨✨  
Use #AddBRart ou peça para entrar na lista do feed e ter todas as suas mídias postadas nele automaticamente. O processo é manual.
⚠️ Use avisos de conteúdo sensível ou explícito quando necessário!",958
KPOP BRASIL,@twicefla.bsky.social,Lista de criadores de conteúdo de K-POP no Brasil. Siga todos para receber o melhor do K-POP no seu feed!,956
MedSky,@rabbitholer.bsky.social,"Welcome to Medsky, a place for the medical community to get together and exchange ideas.
To show up in the feed, add ""Medsky"" or ""Medtwitter"" to your post",941
🐾 Art 🌙,@furryli.st,"Furry
Posts by furries with #furryart and marked NSFW.

Join the furry feeds by following @furryli.st",938
Sports,@crevier.bsky.social,"Box Scores, Sports News, Blogs, and Podcasts
Direct Commentary From Sports Journalists
⚽🏉🏟🏑🤸🏒🏃🏾🥍🏋🏈🏓🤼🤾‍♀️🚴🏿🥎🏏🤺👟🏅🎽🛹⛷🎿⛸🏀🎯🏹🏸⛳️🏌️🏆

If you're a professional sports pundit and you want to be added to the feed, message @crevier.bsky.social",934
Queer Art,@itscodes.codyshipman.com,"Feed will populate with any image posts including the term ""QueerArt"", enjoy! 

AI Prompters will be removed, this feed is for human made art.",921
Indigisky🔥,@daanis.ca,#LandBack #WaterBack #SkyBack. taking what's ours one skeet at a time.  This feed pulls from key words as well as the Indigiskeeters list. if you're looking for Indigenous content this is the place to be.,918
silvazuao tirinhas,@silvazuao.bsky.social,tirinhas do silva joão,907
Final Fantasy XIV,@stublad.renoproject.org,"This feed searches for many common terms and names for things from Final Fantasy XIV and displays them all in one place. Some common terms are: FFXIV, FF14, Gpose, FFXIVart, and Yoshi P. To see all currently used search terms, see the pinned post at the top of the feed.",890
BlackBookSky,@cosmicleedivine.bsky.social,"Black Readers and Black Authors celebrating BLACK books!

Use #BlackBookSky to add to the feed

BlueskyFeedCreator.com",887
青空ごはん部,@gohanclub.bsky.social,"美味しい！をシェアする青空ごはん部のフィードです。「青空ごはん部」「@gohanclub.bsky.com」「GohanClub」のキーワードを含む美味しいごはん写真付きポストを24時間分掲載しています。
2023/7/25～

Feed for Bluesky Gohan Club which shares delicious food photo posts! Please add any of the following keyword to yours: 青空ごはん部 | @gohanclub.bsky.com | GohanClub
Since: July 25, 2023",885
ClaraGram 📸🍑,@clarabelle.xyz,'only the photos' feed from your favorite redhead 🍄📸,876
Art: Jobs,@wanderlingworld.bsky.social,Feed of people looking to hire artists. Use #artjob. Pulls from mentions of art + job or hiring. Filters out AI/NFTs.,875
Painting,@bsky.art,"A BlueSky art feed showcasing paintings from across the platform. Sorted by a combination of trending, discover and new.",872
😷 Covid Conscious,@fairytalefoxdesigns.com,"Displays a variety of terms to prioritize posts by folks who are: covid aware, covid conscious, covid cautious, researchers, & those sharing covid news. Use #stillcoviding, #covidconscious, #covidcautious, #CovidIsntOver (& more) to make sure your post is included. See pinned post for more details.",862
Anthropology/Archaeology,@afreeparticle.com,Any post with 🏺,861
Artists: Discover,@bsky.art,"General art feed — image posts from artists across Bluesky, sorted by discover.
For information on how to post and affiliated accounts, visit: www.bsky.art",861
#MusicianSky,@2amwakeupcall.com,"A feed of music posts on Bluesky. Let's build our music community together!
Use #musiciansky or #musicianfeed to have your post appear on the feed!",860
